Project_Name,Project_URL,Project_Hash,Test_id,OD_Type,Polluter_or_Setter,Cleaner,Path
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_progress_bars,victim,test/test_histogram.py::test_histogram_dimension,test/test_occam_data.py::test_occam_data_save_load,OccamTools/ipflakies_result/aa1c2149/patch/test_occam_data_patch_f5595f1a.patch
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_progress_bars,victim,test/test_histogram.py::test_histogram_time_steps,test/test_occam_data.py::test_occam_data_save_load,OccamTools/ipflakies_result/aa1c2149/patch/test_occam_data_patch_f5595f1a.patch
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_progress_bars,victim,test/test_occam_data.py::test_occam_data_not_equal,test/test_occam_data.py::test_occam_data_save_load,OccamTools/ipflakies_result/aa1c2149/patch/test_occam_data_patch_f5595f1a.patch
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_is_terminal,brittle,__tests__/test_simple_graph.py::TestSimpleGraph::test_add_vertex,,PyGraph/ipflakies_result/ac48c7e8/patch/test_simple_graph_patch_ac7ee3a9.patch
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_vertex_exists,brittle,__tests__/test_simple_graph.py::TestSimpleGraph::test_num_vertex,,PyGraph/ipflakies_result/a9982c47/patch/test_simple_graph_patch_e18b45d1.patch
Tale,https://github.com/irmen/Tale,a2a26443465ab6978b32d9253e833471500e7b68,tests/test_pubsub.py::TestPubsub::test_unsubscribe_all,victim,tests/test_pubsub.py::TestPubsub::test_idletime,tests/test_mudobjects.py::TestLocations::test_message_nearby_location,Tale/ipflakies_result/4d4fddac/patch/test_pubsub_patch_3c47b5c6.patch
Tale,https://github.com/irmen/Tale,a2a26443465ab6978b32d9253e833471500e7b68,tests/test_pubsub.py::TestPubsub::test_unsubscribe_all,victim,tests/test_pubsub.py::TestPubsub::test_idletime,tests/test_mudobjects.py::TestLiving::test_move,Tale/ipflakies_result/4d4fddac/patch/test_pubsub_patch_54b60f24.patch
Tale,https://github.com/irmen/Tale,a2a26443465ab6978b32d9253e833471500e7b68,tests/test_pubsub.py::TestPubsub::test_unsubscribe_all,victim,tests/test_pubsub.py::TestPubsub::test_idletime,tests/test_player.py::TestPlayer::test_wiretap,Tale/ipflakies_result/4d4fddac/patch/test_pubsub_patch_08bc6f78.patch
Tale,https://github.com/irmen/Tale,a2a26443465ab6978b32d9253e833471500e7b68,tests/test_pubsub.py::TestPubsub::test_unsubscribe_all,victim,tests/test_pubsub.py::TestPubsub::test_idletime,tests/test_pubsub.py::TestPubsub::test_destroy,Tale/ipflakies_result/4d4fddac/patch/test_pubsub_patch_44829275.patch
alphanum_code,https://github.com/ylaizet/alphanum_code,fb5cd313dc41f046aac01ff01d6e1561d17894a6,tests/test_alphanum_code.py::test_next_code,brittle,tests/test_alphanum_code.py::test_init_code,,alphanum_code/ipflakies_result/690d14c3/patch/test_alphanum_code_patch_e32586eb.patch
api-python,https://github.com/datacommonsorg/api-python,6d09ca1557da0af893f008f7302801f12afc2d46,datacommons/test/set_api_key_test.py::TestApiKey::test_query_no_api_key,brittle,datacommons/test/set_api_key_test.py::TestApiKey::test_query_w_api_key,,api-python/ipflakies_result/41741525/patch/set_api_key_test_patch_e80d8d75.patch
api-python,https://github.com/datacommonsorg/api-python,6d09ca1557da0af893f008f7302801f12afc2d46,datacommons/test/set_api_key_test.py::TestApiKey::test_send_request_no_api_key,brittle,datacommons/test/set_api_key_test.py::TestApiKey::test_query_w_api_key,,api-python/ipflakies_result/301df477/patch/set_api_key_test_patch_e80d8d75.patch
atlasclient,https://github.com/jpoullet2000/atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,victim,tests/test_models.py::TestDiscoveryREST::test_search_basic_get,tests/test_client.py::TestClient::test_atlas_client,atlasclient/ipflakies_result/6443f690/patch/test_models_patch_ef06bded.patch
atlasclient,https://github.com/jpoullet2000/atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,victim,tests/test_models.py::TestDiscoveryREST::test_search_basic_get,tests/test_models.py::TestEntityREST::test_entity_post,atlasclient/ipflakies_result/6443f690/patch/test_models_patch_a6f47ca2.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_login.py::test_login,authnzerver/tests/test_auth_deletesessions.py::test_sessions_delete_userid,authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_1b5340b3.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_login.py::test_login,authnzerver/tests/test_auth_lockuser.py::test_user_lock,authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_22479437.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_login.py::test_login,authnzerver/tests/test_auth_passcheck.py::test_passcheck,authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_02380cb7.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_login.py::test_login,authnzerver/tests/test_auth_passcheck.py::test_passcheck_nosession,authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_26b6f5b4.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_login.py::test_login,authnzerver/tests/test_auth_permissions.py::test_role_limits,authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_c6df2571.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_login.py::test_login,authnzerver/tests/test_internal_session_edit.py::test_internal_session_edit,authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_7b06a266.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_login.py::test_login,authnzerver/tests/test_internal_user_edit.py::test_internal_user_edit,authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_7494ad32.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_loginlogout.py::test_login_logout,authnzerver/tests/test_auth_deletesessions.py::test_sessions_delete_userid,authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_1b5340b3.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_loginlogout.py::test_login_logout,authnzerver/tests/test_auth_lockuser.py::test_user_lock,authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_22479437.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_loginlogout.py::test_login_logout,authnzerver/tests/test_auth_passcheck.py::test_passcheck,authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_02380cb7.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_loginlogout.py::test_login_logout,authnzerver/tests/test_auth_passcheck.py::test_passcheck_nosession,authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_26b6f5b4.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_loginlogout.py::test_login_logout,authnzerver/tests/test_auth_permissions.py::test_role_limits,authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_c6df2571.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_loginlogout.py::test_login_logout,authnzerver/tests/test_internal_session_edit.py::test_internal_session_edit,authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_7b06a266.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_loginlogout.py::test_login_logout,authnzerver/tests/test_internal_user_edit.py::test_internal_user_edit,authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_7494ad32.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_permissions.py::test_role_permissions,victim,authnzerver/tests/test_auth_creation.py::test_create_user,authnzerver/tests/test_auth_deletesessions.py::test_sessions_delete_userid,authnzerver/ipflakies_result/63a3dffe/patch/test_auth_permissions_patch_1b5340b3.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_permissions.py::test_role_permissions,victim,authnzerver/tests/test_auth_creation.py::test_create_user,authnzerver/tests/test_auth_lockuser.py::test_user_lock,authnzerver/ipflakies_result/63a3dffe/patch/test_auth_permissions_patch_22479437.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_permissions.py::test_role_permissions,victim,authnzerver/tests/test_auth_creation.py::test_create_user,authnzerver/tests/test_auth_passcheck.py::test_passcheck,authnzerver/ipflakies_result/63a3dffe/patch/test_auth_permissions_patch_02380cb7.patch
autoclasswrapper,https://github.com/pierrepo/autoclasswrapper,af43dd833e5586386098d1793a59332e968069da,tests/test_output.py::TestOutputClass::test_write_dendrogram,brittle,tests/test_output.py::TestOutputClass::test_write_cluster_stats,,autoclasswrapper/ipflakies_result/4a848dd6/patch/test_output_patch_0f600afc.patch
autodiscover,https://github.com/nicolaszein/autodiscover,3009f81c51b7a4cb077427e429d740db98eb173b,tests/test_autodiscover.py::TestAutoDiscover::test_autodiscover_with_pattern,brittle,tests/test_autodiscover.py::TestAutoDiscover::test_autodiscover,,autodiscover/ipflakies_result/20a8783c/patch/test_autodiscover_patch_b4e13c82.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_create_document,victim,examples/test_pytest.py::test_index,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/c4d340dc/patch/test_autodoc_patch_031b4820.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_pytest.py::test_index,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_pytest.py::test_index,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_pytest.py::test_post,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_pytest.py::test_post,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch
